id,vgi_id,name,slug,type,games_developed,games_released,games_unreleased,revenue_sum,revenue_median,revenue_avg,self_published,indie,action,casual,adventure,simulation,strategy,rpg,mmo,racing,sports,country_name
12,,Valve,valve,10,36,36,1,2358842505,40850143,65523403,35,3,78,11,11,3,11,0,3,0,0,United States
39,,Capcom,capcom,10,85,85,3,2221530565,5412646,26135654,79,1,91,0,38,0,1,13,0,0,0,Japan
8,,Ubisoft,ubisoft,10,125,125,2,2091831665,1892231,16734653,29,4,98,20,80,16,15,25,6,5,10,France
9,,Rockstar Games,rockstar-games,10,22,22,0,1863871552,11332242,84721434,10,0,95,0,55,0,9,0,0,9,0,United States
23399,,Feral Interactive,feral-interactive,20,44,44,0,1792450246,33520087,40737506,43,0,82,0,43,27,57,9,0,30,27,United Kingdom
15896,,FromSoftware,fromsoftware,10,9,9,1,1590493604,107750927,176721512,6,0,100,0,10,0,0,50,0,0,0,Japan
14012,,Bethesda Game Studios,bethesda-game-studios,10,12,12,0,1423540169,46028650,118628347,0,0,0,0,0,8,0,100,0,0,0,United States
9436,,Aspyr,aspyr,20,26,26,0,1418071269,6516025,54541203,23,0,58,12,42,19,42,23,0,0,0,
16669,,CD PROJEKT RED,cd-projekt-red,20,8,8,0,1375876544,22114994,171984568,8,0,13,0,25,0,38,75,0,0,0,Poland
22,,PUBG Corporation,pubg-corporation,20,1,1,1,1240064606,0,1240064606,0,0,100,0,50,0,50,0,50,0,0,
26681,,Treyarch,treyarch,10,8,8,0,1213323410,95566933,151665426,0,0,100,0,13,0,0,0,0,0,0,United States
31889,,Firaxis Games,firaxis-games,20,20,20,0,1067663700,1752782,53383185,0,0,0,10,0,5,95,10,0,0,0,United States
12015,,Larian Studios,larian-studios,20,8,8,0,1061734206,9503812,132716776,8,25,13,0,50,0,63,100,0,0,0,Belgium
28700,,Creative Assembly,creative-assembly,20,21,21,0,1043995140,32764344,49714054,0,10,52,5,0,5,86,0,0,0,0,
31083,,Infinity Ward,infinity-ward,20,10,10,0,968157712,35338942,96815771,0,0,90,0,10,0,0,0,0,0,0,United States
18024,,Game Science,game-science,30,2,2,0,953560557,953560557,476780279,2,50,50,0,50,0,50,50,0,0,0,China
29513,,Raven Software,raven-software,30,19,19,0,877069975,2437222,46161578,0,0,100,0,0,0,0,0,0,5,0,United States
27564,,Sledgehammer Games,sledgehammer-games,30,7,7,0,820963470,36416128,117280496,0,0,100,0,0,0,0,0,0,0,0,United States
30073,,DICE,dice,10,11,11,0,769057752,32135501,69914341,0,0,100,9,45,0,9,0,9,0,0,
4905,,Paradox Development Studio,paradox-development-studio,20,16,16,0,740246045,2424428,46265378,0,0,0,0,0,56,100,19,0,0,0,Sweden
30729,,Beenox,beenox,30,11,11,0,725918861,10937608,65992624,0,0,91,0,18,0,0,0,0,9,0,Canada
29464,,High Moon Studios,high-moon-studios,30,6,6,0,698947140,18463696,116491190,0,0,100,0,0,0,0,0,0,0,0,United States
36,,Bohemia Interactive,bohemia-interactive,10,21,21,0,694269982,1158992,33060475,21,10,67,10,29,52,52,0,5,0,0,Czech Republic
187380,,Activision Shanghai,activision-shanghai,30,4,4,0,672439062,10456429,168109766,0,0,100,0,0,0,0,0,0,0,0,China
28400,,Toys for Bob,toys-for-bob,30,5,5,0,668738539,2449162,133747708,0,20,100,0,40,0,20,0,0,0,0,United States
187381,,Demonware,demonware,30,3,3,0,654937724,3411520,218312575,0,0,100,0,0,0,0,0,0,0,0,
1,,Square Enix,square-enix,10,99,99,1,636676228,1662604,6431073,96,0,29,4,19,5,7,84,4,0,0,Japan
18,,Electronic Arts,electronic-arts,10,21,21,0,613321871,6819340,29205803,2,0,29,0,5,43,43,5,5,5,38,United States
18753,,Techland,techland,20,14,14,1,604870140,1803291,43205010,3,0,73,0,13,13,0,33,0,27,0,Poland
